vol_span,vol_span_days,cusum_multiplier,profit_taking,stop_loss,max_holding_hours,n_events,n_valid_trades,total_return,cum_return,mean_return,std_return,sharpe_ratio,win_rate,max_drawdown,avg_vol
24,1.0,0.3,1.5,0.5,4,4515,4514,0.22374642693617997,0.22374642693617997,4.955624073891029e-05,0.012466090206059566,0.3720661342060033,0.4281284606866002,-1.8374855155468026,0.007043872338807184
24,1.0,0.3,1.5,0.5,6,4515,4514,0.3047553826855074,0.3047553826855074,6.749842362912677e-05,0.013278512146632625,0.47576913939437354,0.3973421926910299,-2.061987162261439,0.007043872338807184
24,1.0,0.3,1.5,0.5,12,4515,4514,0.8337048717630751,0.8337048717630751,0.00018465224180799005,0.014129264047000429,1.223170776285513,0.3725359911406423,-2.104034719034086,0.007043872338807184
24,1.0,0.3,1.5,0.5,24,4515,4514,1.0657461367196408,1.0657461367196408,0.00023604565597334237,0.014336393929902283,1.5410195188149152,0.36589147286821705,-2.012949696637648,0.007043872338807184
24,1.0,0.3,1.5,0.5,48,4515,4514,1.1364811734623492,1.1364811734623492,0.00025171233077792894,0.014373805885331489,1.6390219459570758,0.36522702104097454,-2.012949696637648,0.007043872338807184
24,1.0,0.3,1.5,1.0,4,4515,4513,0.28393584513586934,0.28393584513586934,6.288723037339299e-05,0.013531372520885404,0.4349833874141287,0.4925802879291251,-2.1662260336034898,0.007043872338807184
24,1.0,0.3,1.5,1.0,6,4515,4513,0.16257480248727862,0.16257480248727862,3.600770819208829e-05,0.01477184347852474,0.22814598812303902,0.4764119601328904,-2.648787887848309,0.007043872338807184
24,1.0,0.3,1.5,1.0,12,4515,4513,0.5951923255255522,0.5951923255255522,0.0001318255427520603,0.016305379659023133,0.7566947236227282,0.4626799557032115,-2.8783814011799587,0.007043872338807184
24,1.0,0.3,1.5,1.0,24,4515,4513,0.8370936383178167,0.8370936383178167,0.00018540279918445552,0.016758611350146543,1.0354528087961357,0.45271317829457364,-2.962005167477675,0.007043872338807184
24,1.0,0.3,1.5,1.0,48,4515,4513,0.8147378098672329,0.8147378098672329,0.00018045134216328524,0.016855268181523695,1.002020260238105,0.4516057585825028,-3.047984886185577,0.007043872338807184
24,1.0,0.3,1.5,1.5,4,4515,4513,0.5362194272624548,0.5362194272624548,0.00011876399274915941,0.014168480940893987,0.7845372206724381,0.5176079734219269,-2.446334987756411,0.007043872338807184
24,1.0,0.3,1.5,1.5,6,4515,4513,0.4441541079365683,0.4441541079365683,9.837300286524214e-05,0.015732549530238213,0.5852330901442239,0.5158361018826135,-3.0408569563647214,0.007043872338807184
24,1.0,0.3,1.5,1.5,12,4515,4513,0.7464478690523224,0.7464478690523224,0.0001653262168443682,0.018022838447399256,0.858559881775218,0.5233665559246955,-3.4803571588729563,0.007043872338807184
24,1.0,0.3,1.5,1.5,24,4515,4513,1.3907374036401938,1.3907374036401938,0.0003080260030210839,0.018918389309565683,1.5238958109606686,0.5209302325581395,-3.3981784898184877,0.007043872338807184
24,1.0,0.3,1.5,1.5,48,4515,4513,1.5633724960916027,1.5633724960916027,0.00034626190389625754,0.019103407289455678,1.696469010104802,0.5231450719822813,-3.5530874192500113,0.007043872338807184
24,1.0,0.3,1.5,2.0,4,4515,4513,0.28789137534259,0.28789137534259,6.376331679791584e-05,0.014778573120139832,0.4038224396525559,0.5255813953488372,-2.7409403611802157,0.007043872338807184
24,1.0,0.3,1.5,2.0,6,4515,4513,0.23006674294671114,0.23006674294671114,5.0956089246226164e-05,0.016573692646146974,0.2877589644525265,0.53421926910299,-3.4766828841462907,0.007043872338807184
24,1.0,0.3,1.5,2.0,12,4515,4513,0.17951812775644793,0.17951812775644793,3.9760382670309616e-05,0.019593505214105026,0.18992864585953428,0.5605758582502769,-4.211058066571024,0.007043872338807184
24,1.0,0.3,1.5,2.0,24,4515,4513,1.0934216215256338,1.0934216215256338,0.00024217533145639731,0.021016828475682377,1.078486656145329,0.5700996677740864,-4.245461378697553,0.007043872338807184
24,1.0,0.3,1.5,2.0,48,4515,4513,1.2581960442293143,1.2581960442293143,0.0002786702202058282,0.02139745105579556,1.2189350696983179,0.5745293466223699,-4.626658926300133,0.007043872338807184
24,1.0,0.3,2.0,0.5,4,4515,4514,0.6178101556945679,0.6178101556945679,0.00013683502894674816,0.01298011039175814,0.9866678006241258,0.4192691029900332,-1.8565078487146662,0.007043872338807184
24,1.0,0.3,2.0,0.5,6,4515,4514,1.0043579085885455,1.0043579085885455,0.0002224491491890466,0.014048731892729623,1.4819913802148679,0.3833887043189369,-1.969552737957292,0.007043872338807184
24,1.0,0.3,2.0,0.5,12,4515,4514,1.9438430129065063,1.9438430129065063,0.000430530013932781,0.015382960935112594,2.619482787960577,0.3426356589147287,-2.0238196067590133,0.007043872338807184
24,1.0,0.3,2.0,0.5,24,4515,4514,2.1943314026139253,2.1943314026139253,0.00048600917001415843,0.015895956944749892,2.86160600764278,0.32491694352159467,-2.0298845971553927,0.007043872338807184
24,1.0,0.3,2.0,0.5,48,4515,4514,2.4409602160677313,2.4409602160677313,0.0005406334919308375,0.016016131121362506,3.159347404557324,0.32181616832779625,-2.0554609377120405,0.007043872338807184
24,1.0,0.3,2.0,1.0,4,4515,4513,0.6657970607494521,0.6657970607494521,0.00014746335786255862,0.014014807619153564,0.9848022483025537,0.4832779623477298,-2.1748618427220183,0.007043872338807184
24,1.0,0.3,2.0,1.0,6,4515,4513,0.8787251070958444,0.8787251070958444,0.00019462350101790573,0.015487867776867576,1.1761310117783859,0.4622369878183832,-2.525266139243284,0.007043872338807184
